INVENTORY_ITEM_ID,n,n_test,mean_MAE,mean_RMSE,mean_MAPE,mean_WAPE,mean_R2,last_MAE,last_RMSE,last_MAPE,last_WAPE,last_R2,roll7_MAE,roll7_RMSE,roll7_MAPE,roll7_WAPE,roll7_R2
637,365,73,18.09232501407394,19.323790899483615,151.3433899251989,107.3772134981624,-5.5222818035215635,22.34246575342466,23.407351614162614,182.7138680831889,132.60162601626016,-8.57016572050398,10.632093933463794,11.984205895349522,92.87584514874526,63.101045296167236,-1.5086115877525867
57341,365,73,5.704635015950459,9.989091441798598,19.20315307306489,22.669480466215763,-0.1878750240149405,7.712328767123288,11.633089319836225,25.92586909492293,30.647795318454,-0.6110495534338012,6.181996086105676,10.382764044744262,20.63974789554623,24.5664515125593,-0.283348899543554
105238,365,73,92.34002627134548,121.9611682168721,26.97114789617212,31.441867241047717,-0.9103531493815016,116.21917808219177,132.8523745540799,49.29041150404183,39.57274126591726,-1.2667788397069812,76.78082191780823,89.8952470240639,29.272093662431164,26.14394328093661,-0.03787241132537522
105740,191,39,3.003542510121456,3.753993629547036,239.34716599190278,156.18421052631572,-0.5150299750921599,5.743589743589744,5.922577401513895,474.1025641025641,298.6666666666667,-2.7709923664122145,1.5347985347985345,3.071364681165292,97.50915750915752,79.8095238095238,-0.01413771615516457
114368,365,73,3.3624507412272466,4.321440175070598,31.951451887774223,31.228868207326848,-0.17417350984001123,6.6438356164383565,7.3995557067660656,84.39135065847395,61.704834605597966,-2.442599933927982,3.195694716242661,4.002410512146888,34.66914622923602,29.680116321337696,-0.00720652128896293
114376,365,73,4.103771814599361,6.1243601769822975,34.5226714007815,33.9654583294505,-0.07903885811766487,4.109589041095891,6.2526706622817505,33.172162780545534,34.01360544217687,-0.12472602813677547,4.109589041095891,6.2526706622817505,33.172162780545534,34.01360544217687,-0.12472602813677547
115939,365,73,3.62173953837493,4.824447937152225,46.02878340541508,33.8957674745346,-0.026177401340282902,5.095890410958904,6.680579090640374,42.78505788783524,47.69230769230769,-0.9676842889054353,4.060665362035225,5.689943259058526,36.587816735450645,38.00366300366301,-0.4273913784923249
115953,365,73,5.897963970726215,8.8417475011496,22.422138754392417,26.84235472961432,-0.5105789278073893,4.904109589041096,7.459479580804438,20.523861232603018,22.31920199501247,-0.075187642771674,5.36986301369863,8.217922278492445,20.82908145397141,24.438902743142144,-0.3049421661409042
125776,25,5,0.10000000000000009,0.10000000000000009,10.000000000000009,10.000000000000009,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
139096,365,73,3.575670857571777,4.256761149198834,48.16087485013794,32.30494710429947,-0.13380412958222743,3.328767123287671,3.998287304567171,40.34563910602971,30.074257425742573,-0.0002935443721672204,3.3424657534246576,4.13802944301184,36.802386733999604,30.198019801980198,-0.07143695841063336
142274,365,73,4.164336648526928,5.803816541853458,30.795921919165632,29.062770109222345,-0.01605023263975358,5.041095890410959,7.203499910384126,29.939275229722167,35.18164435946463,-0.5652183757103719,4.181996086105675,5.777076734791094,31.509633466904457,29.186014750068285,-0.006709344819731067
142456,365,73,11.617658097203979,13.374650010415492,60.3365516419358,44.2866339997854,-1.153049251492948,7.438356164383562,10.04987562112089,28.87849361009524,28.35509138381201,-0.21565540668732552,6.992172211350294,9.320632824751977,29.819936745213283,26.65423349496457,-0.04563451859011147
166806,365,73,6.86704822668418,8.575148253741949,35.53926167500971,29.66239766555889,-0.01141414323914125,6.8493150684931505,8.568818911276313,35.37451431814546,29.585798816568047,-0.009921638670644883,7.710371819960861,10.2686856213029,30.19939007730381,33.30515638207946,-0.4503588321420722
180290,37,8,0.8879310344827586,1.322988006431095,53.9655172413793,59.195402298850574,-0.0001698658060131919,2.0,2.0,180.0,133.33333333333331,-1.2857142857142856,1.5714285714285712,1.616244071283537,131.42857142857142,104.76190476190474,-0.49271137026239065
181253,365,73,14.18188215425033,19.237720687760127,48.93264352749664,58.755811422262994,-1.0029137299806026,13.849315068493151,18.903866387159045,47.98590696589965,57.37797956867197,-0.9339992078564392,12.10958904109589,16.956834804153235,45.01460164916269,50.17026106696936,-0.5561254024190845
192666,365,73,30.010039407018198,32.25522238900599,53.51387037003431,46.85057477998992,-3.6075081275408962,85.94520547945206,87.24897455926823,146.50953335417563,134.17450812660394,-32.71216870713928,17.473581213307234,20.211497045098508,31.31618422025746,27.279115238909927,-0.8091017501908502
227728,23,5,0.11111111111111116,0.11111111111111116,11.111111111111116,11.111111111111116,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
273220,365,73,7.1361887783824365,8.145135240840045,92.28106504378619,60.78667220792507,-1.7485272681334059,4.616438356164384,6.174405855726757,36.68528639969698,39.323220536756125,-0.579406048355749,4.540117416829745,5.243364484856184,55.00229176096039,38.673112185364225,-0.13899953513240781
274637,365,73,22.104991555638957,22.598888214814757,365.12427915564786,230.52348336594912,-5.643620072647025,4.0,8.77730573071321,66.49585335333248,41.714285714285715,-0.002196986710671256,3.7495107632093925,8.826536348958498,54.58287756443501,39.10204081632652,-0.013470866362031098
